,value
1874,-5.835
1875,-5.85
1876,-5.86
1877,-5.86
1878,-5.86
1879,-5.87
1880,-5.875
1881,-5.875
1882,-5.875
1883,-5.87
1884,-5.87
1885,-5.87
1886,-5.875
1887,-5.88
1888,-5.89
1889,-5.915
1890,-5.905
1891,-5.825
1892,-5.69
1893,-5.55
1894,-5.33
1895,-4.98
1896,-4.575
1897,-4.245
1898,-4.07
1899,-4.025
1900,-4.135
1901,-4.385
1902,-4.74
1903,-5.165
1904,-5.615
1905,-6.0
1906,-6.23
1907,-6.28
1908,-6.275
1909,-6.265
1910,-6.27
1911,-6.235
1912,-6.18
1913,-6.12
1914,-6.08
1915,-6.07
1916,-6.06
1917,-6.04
1918,-6.03
1919,-6.02
1920,-6.01
1921,-6.005
1922,-6.0
1923,-5.995
1924,-6.0
1925,-6.0
1926,-5.99
1927,-5.985
1928,-5.985
1929,-5.97
1930,-5.96
1931,-5.945
1932,-5.935
1933,-5.92
1934,-5.895
1935,-5.875
1936,-5.85
1937,-5.82
1938,-5.795
1939,-5.76
1940,-5.73
1941,-5.705
1942,-5.67
1943,-5.645
1944,-5.61
1945,-5.585
1946,-5.565
1947,-5.55
1948,-5.535
1949,-5.52
1950,-5.52
1951,-5.52
1952,-5.515
1953,-5.52
1954,-5.52
1955,-5.53
1956,-5.54
1957,-5.55
1958,-5.565
1959,-5.58
1960,-5.6
1961,-5.62
1962,-5.64
1963,-5.67
1964,-5.69
1965,-5.71
1966,-5.735
1967,-5.755
1968,-5.77
1969,-5.78
1970,-5.79
1971,-5.795
1972,-5.805
1973,-5.815
1974,-5.82
1975,-5.83
1976,-5.835
1977,-5.84
1978,-5.85
1979,-5.85
1980,-5.855
1981,-5.855
1982,-5.86
1983,-5.86
1984,-5.86
1985,-5.86
1986,-5.86
1987,-5.855
1988,-5.855
1989,-5.85
1990,-5.85
1991,-5.85
1992,-5.85
1993,-5.85
1994,-5.845
1995,-5.83
1996,-5.82
1997,-5.8
1998,-5.795
1999,-5.785
2000,-5.785
2001,-5.785
2002,-5.77
2003,-5.75
2004,-5.725
2005,-5.705
2006,-5.7
2007,-5.705
2008,-5.715
2009,-5.72
2010,-5.715
2011,-5.73
2012,-5.74
2013,-5.76
2014,-5.775
2015,-5.79
2016,-5.805
2017,-5.83
2018,-5.85
2019,-5.87
2020,-5.89
2021,-5.895
2022,-5.885
2023,-5.88
2024,-5.88
2025,-5.88
2026,-5.88
2027,-5.88
2028,-5.88
2029,-5.88
2030,-5.88
2031,-5.875
2032,-5.875
2033,-5.89
2034,-5.91
2035,-5.895
2036,-5.8
2037,-5.67
2038,-5.525
2039,-5.28
2040,-4.905
2041,-4.51
2042,-4.22
2043,-4.085
2044,-4.075
2045,-4.23
2046,-4.5
2047,-4.88
2048,-5.315
2049,-5.76
2050,-6.09
2051,-6.28
2052,-6.295
2053,-6.28
2054,-6.28
2055,-6.265
2056,-6.215
2057,-6.155
2058,-6.095
2059,-6.065
2060,-6.065
2061,-6.06
2062,-6.055
2063,-6.05
2064,-6.04
2065,-6.035
2066,-6.035
2067,-6.035
2068,-6.025
2069,-6.02
2070,-6.02
2071,-6.01
2072,-5.995
2073,-5.99
2074,-5.975
2075,-5.955
2076,-5.93
2077,-5.92
2078,-5.91
2079,-5.895
2080,-5.88
2081,-5.84
2082,-5.8
2083,-5.765
2084,-5.735
2085,-5.705
2086,-5.67
2087,-5.64
2088,-5.61
2089,-5.58
2090,-5.56
2091,-5.54
2092,-5.52
2093,-5.515
2094,-5.5
2095,-5.495
2096,-5.49
2097,-5.495
2098,-5.5
2099,-5.515
2100,-5.525
2101,-5.54
2102,-5.555
2103,-5.57
2104,-5.585
2105,-5.605
2106,-5.625
2107,-5.645
2108,-5.665
2109,-5.685
2110,-5.705
2111,-5.725
2112,-5.745
2113,-5.76
2114,-5.775
2115,-5.79
2116,-5.8
2117,-5.815
2118,-5.825
2119,-5.83
2120,-5.84
2121,-5.84
2122,-5.845
2123,-5.85
2124,-5.85
2125,-5.85
2126,-5.845
2127,-5.84
2128,-5.835
2129,-5.83
2130,-5.825
2131,-5.82
2132,-5.815
2133,-5.805
2134,-5.805
2135,-5.8
2136,-5.79
2137,-5.78
2138,-5.76
2139,-5.745
2140,-5.74
2141,-5.735
2142,-5.74
2143,-5.74
2144,-5.735
2145,-5.72
2146,-5.695
2147,-5.68
2148,-5.665
2149,-5.67
2150,-5.68
2151,-5.685
2152,-5.68
2153,-5.69
2154,-5.705
2155,-5.72
2156,-5.74
2157,-5.76
2158,-5.765
2159,-5.795
2160,-5.81
2161,-5.84
2162,-5.86
2163,-5.87
2164,-5.875
2165,-5.875
2166,-5.875
2167,-5.88
2168,-5.885
2169,-5.885
2170,-5.875
2171,-5.87
2172,-5.875
2173,-5.89
2174,-5.875
2175,-5.89
2176,-5.91
2177,-5.89
2178,-5.795
2179,-5.66
2180,-5.52
2181,-5.315
2182,-4.98
2183,-4.585
2184,-4.255
2185,-4.08
2186,-4.04
2187,-4.14
2188,-4.385
2189,-4.73
2190,-5.16
2191,-5.615
2192,-5.995
2193,-6.22
2194,-6.27
2195,-6.255
2196,-6.25
2197,-6.245
2198,-6.205
2199,-6.15
2200,-6.09
2201,-6.055
2202,-6.055
2203,-6.055
2204,-6.045
2205,-6.04
2206,-6.025
2207,-6.02
2208,-6.01
2209,-6.0
2210,-5.995
2211,-5.985
2212,-5.985
2213,-5.975
2214,-5.965
2215,-5.96
2216,-5.95
2217,-5.935
2218,-5.93
2219,-5.91
2220,-5.895
2221,-5.88
2222,-5.86
2223,-5.83
2224,-5.8
2225,-5.775
2226,-5.745
2227,-5.71
2228,-5.68
2229,-5.655
2230,-5.625
2231,-5.59
2232,-5.56
2233,-5.54
2234,-5.525
2235,-5.51
2236,-5.5
2237,-5.485
2238,-5.49
2239,-5.49
2240,-5.49
2241,-5.495
2242,-5.51
2243,-5.525
2244,-5.54
2245,-5.555
2246,-5.57
2247,-5.59
2248,-5.605
2249,-5.625
2250,-5.65
2251,-5.67
2252,-5.695
2253,-5.72
2254,-5.74
2255,-5.765
2256,-5.785
2257,-5.8
2258,-5.815
2259,-5.825
2260,-5.83
2261,-5.835
2262,-5.84
2263,-5.84
2264,-5.845
2265,-5.85
2266,-5.85
2267,-5.85
2268,-5.855
2269,-5.855
2270,-5.855
2271,-5.85
2272,-5.845
2273,-5.84
2274,-5.835
2275,-5.83
2276,-5.825
2277,-5.815
2278,-5.8
2279,-5.78
2280,-5.775
2281,-5.77
2282,-5.76
2283,-5.755
2284,-5.74
2285,-5.73
2286,-5.705
2287,-5.685
2288,-5.665
2289,-5.66
2290,-5.67
2291,-5.67
2292,-5.665
2293,-5.67
2294,-5.68
2295,-5.695
2296,-5.715
2297,-5.735
2298,-5.755
